Starting Cosine-based Knowledge Transfer...
Successfully applied backbone weights for Image task.
Task 0 | Backbone 9 | Epoch 1/20 | Loss: 31.6235 | Accuracy: 0.9568
Task 0 | Backbone 9 | Epoch 2/20 | Loss: 22.8205 | Accuracy: 0.9686
Task 0 | Backbone 9 | Epoch 3/20 | Loss: 19.3243 | Accuracy: 0.9751
Task 0 | Backbone 9 | Epoch 4/20 | Loss: 16.8830 | Accuracy: 0.9808
Task 0 | Backbone 9 | Epoch 5/20 | Loss: 16.1363 | Accuracy: 0.9835
Task 0 | Backbone 9 | Epoch 6/20 | Loss: 14.7179 | Accuracy: 0.9854
Task 0 | Backbone 9 | Epoch 7/20 | Loss: 13.8384 | Accuracy: 0.9873
Task 0 | Backbone 9 | Epoch 8/20 | Loss: 13.1209 | Accuracy: 0.9880
Task 0 | Backbone 9 | Epoch 9/20 | Loss: 12.6682 | Accuracy: 0.9880
Task 0 | Backbone 9 | Epoch 10/20 | Loss: 13.0270 | Accuracy: 0.9892
Task 0 | Backbone 9 | Epoch 11/20 | Loss: 11.5025 | Accuracy: 0.9897
Task 0 | Backbone 9 | Epoch 12/20 | Loss: 10.9561 | Accuracy: 0.9906
Task 0 | Backbone 9 | Epoch 13/20 | Loss: 10.6098 | Accuracy: 0.9909
Task 0 | Backbone 9 | Epoch 14/20 | Loss: 10.3073 | Accuracy: 0.9911
Task 0 | Backbone 9 | Epoch 15/20 | Loss: 9.8704 | Accuracy: 0.9913
Task 0 | Backbone 9 | Epoch 16/20 | Loss: 9.4424 | Accuracy: 0.9923
Task 0 | Backbone 9 | Epoch 17/20 | Loss: 9.0095 | Accuracy: 0.9928
Task 0 | Backbone 9 | Epoch 18/20 | Loss: 8.7445 | Accuracy: 0.9931
Task 0 | Backbone 9 | Epoch 19/20 | Loss: 8.5935 | Accuracy: 0.9931
Task 0 | Backbone 9 | Epoch 20/20 | Loss: 8.4062 | Accuracy: 0.9935
Successfully applied backbone weights for Image task.
Task 1 | Backbone 10 | Epoch 1/20 | Loss: 37.8425 | Accuracy: 0.9422
Task 1 | Backbone 10 | Epoch 2/20 | Loss: 29.2370 | Accuracy: 0.9572
Task 1 | Backbone 10 | Epoch 3/20 | Loss: 25.0640 | Accuracy: 0.9675
Task 1 | Backbone 10 | Epoch 4/20 | Loss: 23.4648 | Accuracy: 0.9720
Task 1 | Backbone 10 | Epoch 5/20 | Loss: 23.4931 | Accuracy: 0.9698
Task 1 | Backbone 10 | Epoch 6/20 | Loss: 20.8701 | Accuracy: 0.9755
Task 1 | Backbone 10 | Epoch 7/20 | Loss: 19.3891 | Accuracy: 0.9779
Task 1 | Backbone 10 | Epoch 8/20 | Loss: 18.1471 | Accuracy: 0.9801
Task 1 | Backbone 10 | Epoch 9/20 | Loss: 17.1883 | Accuracy: 0.9817
Task 1 | Backbone 10 | Epoch 10/20 | Loss: 16.7819 | Accuracy: 0.9839
Task 1 | Backbone 10 | Epoch 11/20 | Loss: 17.6449 | Accuracy: 0.9800
Task 1 | Backbone 10 | Epoch 12/20 | Loss: 16.3952 | Accuracy: 0.9812
Task 1 | Backbone 10 | Epoch 13/20 | Loss: 14.7709 | Accuracy: 0.9853
Task 1 | Backbone 10 | Epoch 14/20 | Loss: 13.5476 | Accuracy: 0.9872
Task 1 | Backbone 10 | Epoch 15/20 | Loss: 12.8548 | Accuracy: 0.9879
Task 1 | Backbone 10 | Epoch 16/20 | Loss: 12.5106 | Accuracy: 0.9886
Task 1 | Backbone 10 | Epoch 17/20 | Loss: 12.1026 | Accuracy: 0.9890
Task 1 | Backbone 10 | Epoch 18/20 | Loss: 11.6385 | Accuracy: 0.9893
Task 1 | Backbone 10 | Epoch 19/20 | Loss: 11.1325 | Accuracy: 0.9898
Task 1 | Backbone 10 | Epoch 20/20 | Loss: 10.6778 | Accuracy: 0.9907
Successfully applied backbone weights for Image task.
Task 2 | Backbone 8 | Epoch 1/20 | Loss: 31.1591 | Accuracy: 0.9563
Task 2 | Backbone 8 | Epoch 2/20 | Loss: 23.8350 | Accuracy: 0.9673
Task 2 | Backbone 8 | Epoch 3/20 | Loss: 20.8586 | Accuracy: 0.9739
Task 2 | Backbone 8 | Epoch 4/20 | Loss: 18.8386 | Accuracy: 0.9767
Task 2 | Backbone 8 | Epoch 5/20 | Loss: 17.2408 | Accuracy: 0.9794
Task 2 | Backbone 8 | Epoch 6/20 | Loss: 16.4354 | Accuracy: 0.9803
Task 2 | Backbone 8 | Epoch 7/20 | Loss: 15.5772 | Accuracy: 0.9827
Task 2 | Backbone 8 | Epoch 8/20 | Loss: 14.5010 | Accuracy: 0.9834
Task 2 | Backbone 8 | Epoch 9/20 | Loss: 13.8717 | Accuracy: 0.9846
Task 2 | Backbone 8 | Epoch 10/20 | Loss: 13.3078 | Accuracy: 0.9867
Task 2 | Backbone 8 | Epoch 11/20 | Loss: 12.7642 | Accuracy: 0.9874
Task 2 | Backbone 8 | Epoch 12/20 | Loss: 12.2191 | Accuracy: 0.9879
Task 2 | Backbone 8 | Epoch 13/20 | Loss: 11.6110 | Accuracy: 0.9884
Task 2 | Backbone 8 | Epoch 14/20 | Loss: 11.3139 | Accuracy: 0.9895
Task 2 | Backbone 8 | Epoch 15/20 | Loss: 10.9580 | Accuracy: 0.9895
Task 2 | Backbone 8 | Epoch 16/20 | Loss: 10.5382 | Accuracy: 0.9907
Task 2 | Backbone 8 | Epoch 17/20 | Loss: 10.1634 | Accuracy: 0.9908
Task 2 | Backbone 8 | Epoch 18/20 | Loss: 9.8846 | Accuracy: 0.9908
Task 2 | Backbone 8 | Epoch 19/20 | Loss: 9.5911 | Accuracy: 0.9915
Task 2 | Backbone 8 | Epoch 20/20 | Loss: 9.2541 | Accuracy: 0.9917
Successfully applied backbone weights for Image task.
Task 3 | Backbone 10 | Epoch 1/20 | Loss: 29.1920 | Accuracy: 0.9640
Task 3 | Backbone 10 | Epoch 2/20 | Loss: 19.7178 | Accuracy: 0.9761
Task 3 | Backbone 10 | Epoch 3/20 | Loss: 16.0608 | Accuracy: 0.9812
Task 3 | Backbone 10 | Epoch 4/20 | Loss: 13.5502 | Accuracy: 0.9855
Task 3 | Backbone 10 | Epoch 5/20 | Loss: 12.2455 | Accuracy: 0.9885
Task 3 | Backbone 10 | Epoch 6/20 | Loss: 11.0974 | Accuracy: 0.9899
Task 3 | Backbone 10 | Epoch 7/20 | Loss: 10.3590 | Accuracy: 0.9909
Task 3 | Backbone 10 | Epoch 8/20 | Loss: 9.9649 | Accuracy: 0.9913
Task 3 | Backbone 10 | Epoch 9/20 | Loss: 9.6329 | Accuracy: 0.9916
Task 3 | Backbone 10 | Epoch 10/20 | Loss: 9.5053 | Accuracy: 0.9916
Task 3 | Backbone 10 | Epoch 11/20 | Loss: 9.0656 | Accuracy: 0.9918
Task 3 | Backbone 10 | Epoch 12/20 | Loss: 8.7585 | Accuracy: 0.9927
Task 3 | Backbone 10 | Epoch 13/20 | Loss: 8.4135 | Accuracy: 0.9927
Task 3 | Backbone 10 | Epoch 14/20 | Loss: 8.2234 | Accuracy: 0.9930
Task 3 | Backbone 10 | Epoch 15/20 | Loss: 8.1569 | Accuracy: 0.9932
Task 3 | Backbone 10 | Epoch 16/20 | Loss: 7.9791 | Accuracy: 0.9934
Task 3 | Backbone 10 | Epoch 17/20 | Loss: 7.8061 | Accuracy: 0.9936
Task 3 | Backbone 10 | Epoch 18/20 | Loss: 7.6283 | Accuracy: 0.9937
Task 3 | Backbone 10 | Epoch 19/20 | Loss: 7.4922 | Accuracy: 0.9937
Task 3 | Backbone 10 | Epoch 20/20 | Loss: 7.6605 | Accuracy: 0.9939
Successfully applied backbone weights for Image task.
Task 4 | Backbone 10 | Epoch 1/20 | Loss: 31.7468 | Accuracy: 0.9570
Task 4 | Backbone 10 | Epoch 2/20 | Loss: 23.2418 | Accuracy: 0.9689
Task 4 | Backbone 10 | Epoch 3/20 | Loss: 20.2075 | Accuracy: 0.9734
Task 4 | Backbone 10 | Epoch 4/20 | Loss: 18.0376 | Accuracy: 0.9780
Task 4 | Backbone 10 | Epoch 5/20 | Loss: 16.6083 | Accuracy: 0.9794
Task 4 | Backbone 10 | Epoch 6/20 | Loss: 15.0738 | Accuracy: 0.9820
Task 4 | Backbone 10 | Epoch 7/20 | Loss: 14.2400 | Accuracy: 0.9844
Task 4 | Backbone 10 | Epoch 8/20 | Loss: 13.3113 | Accuracy: 0.9857
Task 4 | Backbone 10 | Epoch 9/20 | Loss: 12.2399 | Accuracy: 0.9867
Task 4 | Backbone 10 | Epoch 10/20 | Loss: 11.4776 | Accuracy: 0.9874
Task 4 | Backbone 10 | Epoch 11/20 | Loss: 10.6151 | Accuracy: 0.9895
Task 4 | Backbone 10 | Epoch 12/20 | Loss: 9.9442 | Accuracy: 0.9904
Task 4 | Backbone 10 | Epoch 13/20 | Loss: 9.5212 | Accuracy: 0.9914
Task 4 | Backbone 10 | Epoch 14/20 | Loss: 9.2546 | Accuracy: 0.9909
Task 4 | Backbone 10 | Epoch 15/20 | Loss: 8.8166 | Accuracy: 0.9914
Task 4 | Backbone 10 | Epoch 16/20 | Loss: 8.1702 | Accuracy: 0.9927
Task 4 | Backbone 10 | Epoch 17/20 | Loss: 7.9683 | Accuracy: 0.9930
Task 4 | Backbone 10 | Epoch 18/20 | Loss: 7.6704 | Accuracy: 0.9934
Task 4 | Backbone 10 | Epoch 19/20 | Loss: 7.5387 | Accuracy: 0.9934
Task 4 | Backbone 10 | Epoch 20/20 | Loss: 7.4475 | Accuracy: 0.9937
Successfully applied backbone weights for Text task.
Task 5 | Backbone 4 | Epoch 1/20 | Loss: 216.8609 | Accuracy: 0.4953
Task 5 | Backbone 4 | Epoch 2/20 | Loss: 154.8616 | Accuracy: 0.6018
Task 5 | Backbone 4 | Epoch 3/20 | Loss: 146.0706 | Accuracy: 0.6335
Task 5 | Backbone 4 | Epoch 4/20 | Loss: 135.8335 | Accuracy: 0.6684
Task 5 | Backbone 4 | Epoch 5/20 | Loss: 127.7634 | Accuracy: 0.6967
Task 5 | Backbone 4 | Epoch 6/20 | Loss: 120.8314 | Accuracy: 0.7175
Task 5 | Backbone 4 | Epoch 7/20 | Loss: 113.3980 | Accuracy: 0.7358
Task 5 | Backbone 4 | Epoch 8/20 | Loss: 107.6810 | Accuracy: 0.7513
Task 5 | Backbone 4 | Epoch 9/20 | Loss: 102.7264 | Accuracy: 0.7638
Task 5 | Backbone 4 | Epoch 10/20 | Loss: 98.9847 | Accuracy: 0.7767
Task 5 | Backbone 4 | Epoch 11/20 | Loss: 95.1786 | Accuracy: 0.7811
Task 5 | Backbone 4 | Epoch 12/20 | Loss: 92.0611 | Accuracy: 0.7887
Task 5 | Backbone 4 | Epoch 13/20 | Loss: 89.1625 | Accuracy: 0.7996
Task 5 | Backbone 4 | Epoch 14/20 | Loss: 86.2819 | Accuracy: 0.8120
Task 5 | Backbone 4 | Epoch 15/20 | Loss: 83.4689 | Accuracy: 0.8209
Task 5 | Backbone 4 | Epoch 16/20 | Loss: 81.1726 | Accuracy: 0.8225
Task 5 | Backbone 4 | Epoch 17/20 | Loss: 78.3302 | Accuracy: 0.8355
Task 5 | Backbone 4 | Epoch 18/20 | Loss: 75.8795 | Accuracy: 0.8385
Task 5 | Backbone 4 | Epoch 19/20 | Loss: 73.7971 | Accuracy: 0.8447
Task 5 | Backbone 4 | Epoch 20/20 | Loss: 71.9699 | Accuracy: 0.8527
Successfully applied backbone weights for Image task.
