Starting Cosine-based Knowledge Transfer...
Successfully applied backbone weights for Image task.
Task 0 | Backbone 9 | Epoch 1/20 | Loss: 36.2878 | Accuracy: 0.9480
Task 0 | Backbone 9 | Epoch 2/20 | Loss: 29.9958 | Accuracy: 0.9587
Task 0 | Backbone 9 | Epoch 3/20 | Loss: 27.8242 | Accuracy: 0.9616
Task 0 | Backbone 9 | Epoch 4/20 | Loss: 26.1543 | Accuracy: 0.9653
Task 0 | Backbone 9 | Epoch 5/20 | Loss: 25.1702 | Accuracy: 0.9664
Task 0 | Backbone 9 | Epoch 6/20 | Loss: 24.1259 | Accuracy: 0.9674
Task 0 | Backbone 9 | Epoch 7/20 | Loss: 23.2531 | Accuracy: 0.9700
Task 0 | Backbone 9 | Epoch 8/20 | Loss: 22.4475 | Accuracy: 0.9710
Task 0 | Backbone 9 | Epoch 9/20 | Loss: 22.0822 | Accuracy: 0.9720
Task 0 | Backbone 9 | Epoch 10/20 | Loss: 21.2705 | Accuracy: 0.9731
Task 0 | Backbone 9 | Epoch 11/20 | Loss: 20.9047 | Accuracy: 0.9738
Task 0 | Backbone 9 | Epoch 12/20 | Loss: 20.6284 | Accuracy: 0.9748
Task 0 | Backbone 9 | Epoch 13/20 | Loss: 20.1434 | Accuracy: 0.9758
Task 0 | Backbone 9 | Epoch 14/20 | Loss: 19.6934 | Accuracy: 0.9767
Task 0 | Backbone 9 | Epoch 15/20 | Loss: 19.4758 | Accuracy: 0.9767
Task 0 | Backbone 9 | Epoch 16/20 | Loss: 19.2083 | Accuracy: 0.9775
Task 0 | Backbone 9 | Epoch 17/20 | Loss: 18.9011 | Accuracy: 0.9784
Task 0 | Backbone 9 | Epoch 18/20 | Loss: 18.5925 | Accuracy: 0.9782
Task 0 | Backbone 9 | Epoch 19/20 | Loss: 18.4143 | Accuracy: 0.9787
Task 0 | Backbone 9 | Epoch 20/20 | Loss: 18.1937 | Accuracy: 0.9792
Successfully applied backbone weights for Image task.
Task 1 | Backbone 10 | Epoch 1/20 | Loss: 40.9120 | Accuracy: 0.9379
Task 1 | Backbone 10 | Epoch 2/20 | Loss: 36.6049 | Accuracy: 0.9442
