Folder,Caption,Label
caption_10006,A man wearing a Colin Kaepernick jersey marched in Minneapolis to protest the death of George Floyd.,Sports
caption_1001,An adult male Eriauchenius workmani pelican spider.,Science
caption_10029,"Peter Laviolette, left, has taken three teams to the Stanley Cup final, winning in 2006 with the Carolina Hurricanes.",Sports
caption_10034,Louis Herman with a dolphin at the University of Hawaii in 1980. He taught two dozen words to two bottlenose dolphins.,Science
caption_10046,This satisfying one-pan meal is as easy to throw together for a Tuesday dinner as it is for a weekend breakfast.,Food
caption_10052,The new study was based on 39 years of historical data from the Nathan&rsquo;s Famous Hot Dog Eating Contest.,Science
caption_10056,"A close-up view of Phobos, the larger of Mars's two moons. It is 17 miles across, and will be visited by a Japanese mission, MMX.",Science
caption_10062,"This chocolate chip cookie recipe, which calls for a combination of bread and cake flours, can be made with only all-purpose flour, but be sure to chill the dough the specified time before baking.",Food
caption_10068,"Bees&rsquo; memories of food comes from scent, which led researchers to wonder if they could guide bees toward certain agricultural crops with the power of odors.",Science
caption_10075,The Peking duck oven at Hwa Yuan Szechuan.,Food
caption_10078,"Cleveland acquired Nap Lajoie in 1902 and renamed the team after him in 1903. When he left the club, it was renamed the Indians. The team is back on the market for a new name.",Sports
caption_10079,"A comparison of planets in our own solar system, bottom, with planets observed circling Kepler 90, a star more than 2,000 light-years from Earth. Scientists using artificial intelligence supplied by Google researchers just detected an eighth planet orbiting the star.",Science
caption_1008,"Sara and Matt Licklider, right, of Lioco Wine Company, speaking with a driver, have shifted their focus to home delivery.",Food
caption_10088,Serena Williams during the 2019 French Open.,Sports
caption_10092,"The Sorpe reservoir in northwest Germany, one of four freshwater reservoirs observed in a recent study that found that carbon dioxide absorbed in lakes, rivers and streams can affect entire ecosystems.",Science
caption_10096,"SpaceX's Falcon 9 rocket self-destructed after the Crew Dragon astronaut capsule separated during a launch on January 19, 2020.",Science
caption_10099,Garrett Wade has a collection of tin-lined copper cookware from France and carbon-steel knives.,Food
caption_10100,Scientists reprogrammed the common bacterium E. coli so it requires a synthetic amino acid to live.,Science
caption_10105,Oak tree galls &mdash; compartments of plant tissue containing wasp larvae &mdash; with a parasitic vine attached by tiny wooden suction cups.,Science
caption_10106,"Ali Slagle's baked rice with leeks, white beans, Parmesan and herbs.",Food
caption_10107,The comet 2I/Borisov captured by the Gemini North telescope in Hawaii in September.,Science
caption_10113,"Luis Rojas, 38, expected to be the Mets' quality control coach this year. Instead, he'll be their manager.",Sports
caption_10115,"Devon Mihesuah, a professor of native history and culture at the University of Kansas, holding the ancient, native North American fruit tree still found across most of the eastern half of the United States.",Food
caption_10116,"Kevin Durant said he had been training ""as hard as I could"" to prepare for this season, when he and Kyrie Irving are expected to play together for the first time.",Sports
caption_10117,"An olm, a foot-long cave-dwelling amphibian, in the Postojna Cave in Slovenia.",Science
caption_10119,Dr. Thomas E. Starzl in 1989 at the University of Pittsburgh Medical Center. He died on Saturday in Pittsburgh.,Science
caption_10120,"Miami Heat center Meyers Leonard practiced in his driveway in Miami Beach on Saturday on a basketball goal given to him by a teammate, Jimmy Butler.",Sports
caption_10127,"Luka Doncic was brilliant in Game 4 against the Clippers on Sunday, hitting a 3-pointer at the buzzer in overtime for a Dallas win.",Sports
caption_10128,Professor Creamer arrived home in New Jersey to great fanfare after completing his round-the-world voyage in May 1984.,Sports
caption_10136,"Stripey, a striped hyena living at Animal Encounters, an animal sanctuary near Beirut.",Science
caption_1014,"Defense, despite it all.",Sports
caption_10149,"Burying beetles during an act of copulation atop a dead mouse. Females of the species emit an anti-aphrodisiac when their larvae are most dependent, and the males help feed the offspring.",Science
caption_10157,"Kobe Bryant and his daughter Gianna at Staples Center on Dec. 29, when the Lakers played the Dallas Mavericks.",Sports
caption_1016,"This spin on British summer pudding layers sliced bread with berries, peaches and freshly whipped cream. Think of it as a cross between a layer cake and tiramisù.",Food
caption_10167,"A high school basketball championship game was played without fans in Lake Charles, La., on Friday.",Sports
caption_10169,"Members of the New South Wales Rural Fire Service extinguishing a fire north of Bredbo, Australia, in February.",Science
caption_10171,"Family and friends will not be allowed into the N.B.A.'s isolated environs at the ESPN Wide World of Sports Complex near Orlando, Fla., until the second round of the playoffs.",Sports
caption_10175,"Females of the species Toxeus magnus, a jumping spider that mimics ants, have been discovered to feed their offspring a milk-like substance",Science
caption_10204,"Celestine, from Julian Brizzi and Garett McMahan, will feature sweeping views of the East River.",Food
caption_10206,Antoni Porowski in his Brooklyn apartment.,Food
caption_10213,"Joel Steinkraus, an engineer at NASA's Jet Propulsion Laboratory, adjusting one of the Mars Cube One satellites in March.",Science
caption_10224,"Creatures as diverse as the humpback whale and the ladybug all descend from the very first animal, which appeared hundreds of millions of years ago.",Science
caption_1023,Oklahoma City Thunder Coach Billy Donovan recently spent about 80 minutes talking about his offensive philosophy and answering questions during an online coaching clinic.,Sports
caption_10233,"Swiss Skydiver, right, held off Authentic down the stretch.",Sports
caption_10241,"The Novodinia americana's entire body lights up when stimulated, and its eyes have bigger pupils with better vision than starfish in shallower, brighter waters.",Science
caption_10267,"From left, Valdespino Amontillado Tío Diego, Hidalgo La Gitana Amontillado Napoleon and Fernando de Castilla Amontillado Antique.",Food
caption_10269,The heavens will be putting on quite a show on Monday.,Science
caption_10273,"Brian Greene in ""Light Falls"" at the World Science Festival in New York.",Science
caption_10275,"Lady Gaga in Sept. 2010 after accepting an award at the MTV Video Music Awards for ""Bad Romance.""",Science
caption_10277,"Fans cheer at a women's league soccer game in Mexico City, on Saturday, as Mexico's government takes a more restrained approach to curbing the spread of coronavirus.",Sports
caption_1028,Bayern Munich's trophy was its third this season after titles in the Bundesliga and the German Cup.,Sports
caption_10284,"Harry Glickman, the founder of the Portland Trail Blazers, at a news conference in April 1971, after the end of the team&rsquo;s first season. Six years later, the Trail Blazers would win the N.B.A. championship.",Sports
caption_10295,"Items belonging to the estate of the renowned physicist Stephen Hawking, who died in March, will go to auction on Oct. 31.",Science
caption_10298,"Adam Ottavino, a former relief pitcher for the Colorado Rockies, warmed up last month at a facility he rents in Harlem from his father-in-law. He said it had helped him improve his velocity and cook up a devastating slider.",Sports
caption_10303,"Katharine measured 14 feet 2 inches and weighed 2,300 pounds when researchers tagged her in 2013 off the coast of Cape Cod in Massachusetts.",Science
caption_10308,A hatchling Protoceratops andrewsi fossil from the Gobi Desert in Mongolia.,Science
caption_10312,"Jimmy Garoppolo threw for a touchdown and an interception in his first playoff start, a 49ers victory to advance to the N.F.C. championship.",Sports
caption_10327,Elliot Ackerman,Food
caption_10335,"The 6-foot-5 P.J. Tucker, center, is often tasked with defending taller players in the Houston Rockets so-called 'microball' strategy.",Sports
caption_10338,"A male chimpanzee drinking at a waterhole in Fongoli, a Senegalese savanna. Temperatures at Fongoli can reach 110 degrees Fahrenheit or more.",Science
caption_10339,Nick Bosa and fellow 49ers enjoyed a playoff victory over the Vikings.,Sports
